Statement,Source,Date,Label,Link
“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,Instagram posts," July 5, 2023",false,https://www.politifact.com/factchecks/2023/aug/04/instagram-posts/major-us-fast-food-chains-are-not-selling-lab-grow/
Video shows that Attorney General Merrick Garland “cries like kid after Taylor Greene calls out stupid ‘Trump’s Arraignment.’”,Facebook posts," July 7, 2023",false,https://www.politifact.com/factchecks/2023/aug/03/facebook-posts/attorney-general-merrick-garland-cries-like-kid-no/
“13 nations agree to abolish farming in order to save the planet.”,Instagram posts,"July 27, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/03/instagram-posts/the-us-and-12-other-countries-did-not-agree-to-abo/
“Una aguja puede salvar la vida de una persona teniendo un derrame cerebral”.,Facebook posts," June 6, 2023",false,https://www.politifact.com/factchecks/2023/aug/03/facebook-posts/medicos-no-recomiendan-usar-aguja-para-pinchar-alg/
"""Wages are up after being adjusted for inflation.""",Joe Biden,"July 28, 2023 ",half-true,https://www.politifact.com/factchecks/2023/aug/03/joe-biden/joe-biden-said-inflation-adjusted-wages-are-up-tha/
"""Carne sintética impresa en 3D para todo el mundo la nueva orden de la ONU para preservar el planeta"".",Facebook posts," July 1, 2023",false,https://www.politifact.com/factchecks/2023/aug/03/facebook-posts/la-onu-no-emitio-una-orden-mundial-de-consumir-car/
"Nicole Schwab said, “Permanent climate lockdowns coming — whether you like it or not.”",Instagram posts,"July 31, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/03/instagram-posts/claim-that-klaus-schwabs-daughter-warned-of-climat/
“Consumer confidence is the highest it’s been in years.”,Chris Coons,"July 30, 2023 ",barely-true,https://www.politifact.com/factchecks/2023/aug/03/chris-coons/how-strong-is-consumer-confidence-under-joe-biden/
"Judge Tanya Chutkan “is the only federal judge in Washington, D.C., who has sentenced Jan. 6 defendants to sentences longer than the government had requested.”",Jack Posobiec," August 1, 2023",false,https://www.politifact.com/factchecks/2023/aug/02/jack-posopiec/no-tanya-chutkan-is-not-only-dc-judge-to-give-hars/
People who received COVID-19 vaccines can “detoxify” their bodies from the spike protein.,Instagram posts,"July 28, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/02/instagram-posts/ditch-the-detox-the-spike-proteins-produced-from-c/
"The White House delivered an “official statement” July 28 that we “need to be getting prepared for something big to happen, potentially to our critical infrastructure.”",Facebook posts,"July 30, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/02/facebook-posts/the-white-house-did-not-issue-official-warning-abo/
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,TikTok posts,"June 22, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/01/tiktok-posts/new-law-lets-you-remove-old-debts-from-your-record/
"""Joe Biden no sabía que esta mujer estaba grabando y puedes escucharlo olfatear agresivamente a su pequeño hijo”.",Instagram posts," July 8, 2023",false,https://www.politifact.com/factchecks/2023/aug/01/instagram-posts/no-biden-no-olio-a-un-bebe-en-este-video-fue-alter/
“Skin cancer is a relatively new phenomenon in the last 60 years or so.”,Instagram posts,"July 28, 2023 ",false,https://www.politifact.com/factchecks/2023/aug/01/instagram-posts/skin-cancer-didnt-emerge-in-the-last-60-years-it-d/
"Former President Barack Obama “removed 500,000 pedophiles from background check database.”",Instagram posts,"July 27, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/31/instagram-posts/claim-misrepresents-removal-of-500000-fugitives-fr/
Photos of Barack Obama golfing with bandaged fingers are proof of his involvement in Tafari Campbell’s death.,Instagram posts,"July 29, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/31/instagram-posts/barack-obamas-taped-fingers-evidence-hes-connected/
"There was a recent attempt to assassinate Donald Trump in Reno, Nevada.",Facebook posts,"July 27, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/31/facebook-posts/social-media-post-misleadingly-presents-old-news-a/
"Says Bill Gates said, “We’re taking things that are genetically modified organisms, and we’re injecting them into little kids’ arms” in the context of the COVID-19 pandemic.",Facebook posts,"July 26, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/31/facebook-posts/social-media-post-misleads-about-bill-gates-remark/
"Doctors in the Netherlands “ordered” to euthanize “citizens with autism and other minor disabilities, even if the patient does not currently express any desire to die.""",Facebook posts,"July 26, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/28/facebook-posts/facebook-video-distorts-netherlands-euthanasia-law/
Estas imágenes muestran a LeBron James vestido de rosa para la película “Barbie”.,Social Media,"July 21, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/28/social-media/lebron-james-no-vistio-de-rosa-para-la-pelicula-de/
“Tens of millions of Americans live in communities where they cannot find a doctor while others have to wait months to be seen.”,Bernie Sanders,"July 19, 2023 ",mostly-true,https://www.politifact.com/factchecks/2023/jul/28/bernie-sanders/sen-bernie-sanders-says-millions-of-people-cant-fi/
A wind turbine must “spin continually for over four years just to replace the energy it took to manufacture it.”,Instagram posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/28/instagram-posts/a-wind-turbine-can-produce-in-months-not-years-mor/
"“The No. 1 weather-related killer is heat. 600 people die annually from its effects, more than from floods, hurricanes and tornadoes in America combined.”",Joe Biden,"July 27, 2023 ",mostly-true,https://www.politifact.com/factchecks/2023/jul/28/joe-biden/joe-biden-said-heat-kills-more-americans-than-floo/
"""In Biden's America, 7 million people illegally crossed the border and are given a free cellphone and airline tickets.""",Francis Suarez,"July 16, 2023 ",barely-true,https://www.politifact.com/factchecks/2023/jul/28/francis-suarez/francis-suarezs-misleading-claim-about-millions-of/
“You can work at some McDonald’s in this country for more money than … signing up for the military.”,Nicole Malliotakis,"July 14, 2023 ",half-true,https://www.politifact.com/factchecks/2023/jul/28/nicole-malliotakis/fast-food-jobs-vs-the-military-pay-comparison-miss/
"""No hay calentamiento global, de hecho las gráficas indican que nos estamos enfriando cada vez más”.",Facebook posts,"July 26, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/28/facebook-posts/el-calentamiento-global-es-real-y-no-hay-evidencia/
“The government just stated under oath that they are in possession of UFOs and nonhuman alien bodies.”,Lizzo,"July 26, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/28/lizzo/truth-hurts-fact-checking-lizzos-incorrect-claim-a/
These images show LeBron James dressed in pink for the “Barbie” movie.,Social Media,"July 21, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/27/social-media/no-lebron-james-did-not-wear-pink-for-the-barbie-m/
"""Las personas mayores de 65 años con dificultades financieras"" pueden calificar para una ""flex card"" de Medicare para comprar alimentos, pagar trabajo dental y otras necesidades.",Facebook posts,"June 15, 2023 ",barely-true,https://www.politifact.com/factchecks/2023/jul/27/facebook-posts/las-tarjetas-de-debito-flex-card-obtenidas-a-trave/
"Borax can be used to treat a variety of health problems, including joint pain, kidney stones, osteoporosis and chronic fatigue.",Facebook posts,"July 18, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/27/facebook-posts/dont-ingest-borax-experts-say-the-cleaning-product/
"""Senator Mitt Romney threatens to leave the Republican party and join Democrats.”",Instagram posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/27/instagram-posts/republican-sen-mitt-romney-has-not-threatened-to-j/
Video shows a van “‘Queer testing’ kids without parental approval … (that) involves clothing removal.”,Facebook posts,"July 19, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/27/facebook-posts/this-van-was-testing-kids-for-covid-19-not-queerne/
"Immigrants are supposed to “apply for asylum in the country where they are, and then they try to come into the United States.”",Virginia Foxx,"July 17, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/27/virginia-foxx/foxx-gives-inaccurate-explanation-of-us-asylum-pro/
"“Ahora resulta que la corporación de juguetes MATTEL, lanza una ‘Barbie BAFOMET’, para complacer a la estrenada sociedad de la iglesia satánica en EEUU.""",Facebook posts," June 8, 2023",false,https://www.politifact.com/factchecks/2023/jul/27/facebook-posts/no-existe-una-barbie-baphomet-creada-por-mattel/
“There have been more illegal encounters under Biden than the previous two administrations combined.”,Tim Scott,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/26/tim-scott/tim-scott-is-wrong-about-more-illegal-immigration/
“There is no such thing as a trans kid.”,Gays Against Groomers,"July 20, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/26/gays-against-groomers/yes-trans-kids-do-exist/
"When Bill Nye said “the Earth is a closed system,” he suggested space exploration is impossible.",Instagram posts,"July 25, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/26/instagram-posts/bill-nye-did-not-imply-that-humans-cant-go-to-spac/
"Tafari Campbell, the Obamas’ personal chef who drowned, tweeted that he had “information that will lead to the arrest of Barack Obama.”",Instagram posts,"July 25, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/26/instagram-posts/tafari-campbell-obamas-personal-chef-did-not-tweet/
Beyoncé “is a defendant in a major human trafficking case.”,Facebook posts,"July 23, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/25/facebook-posts/beyonce-is-not-accused-of-human-trafficking-2020-l/
“US Navy SEALs are arresting Ron DeSantis” for running a child sex trafficking ring.,Facebook posts,"July 25, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/25/facebook-posts/expect-to-see-florida-gov-ron-desantis-campaigning/
“(Joe) Biden just gets up and leaves during a live TV interview.”,Facebook posts,"June 30, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/25/facebook-posts/no-this-video-doesnt-show-joe-biden-leaving-midint/
"""Biden elimina ‘tráfico sexual de menores’ como una de las prioridades del Departamento de Justicia de su gobierno”.",TikTok posts,"July 15, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/25/tiktok-posts/es-falso-que-combatir-el-trafico-sexual-infantil-y/
"A las personas que van a ver ‘Sound of Freedom’ “en medio de la película se les va la luz, les hacen unas alarmas de bomberos o simplemente dicen que tienen que evacuar”.",TikTok posts,"July 17, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/25/tiktok-posts/el-estudio-detras-de-sound-of-freedom-niega-declar/
“Luke Bryan pulls his videos from CMT: ‘Time for the Bud Light treatment.’”,Facebook posts,"July 21, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/facebook-posts/luke-bryan-didnt-encourage-giving-cmt-the-bud-ligh/
“Hank Williams Jr resigns from CMT’s board of directors: ‘I support Jason Aldean.’”,Viral image,"July 22, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/viral-image/headline-about-hank-williams-jr-resigning-from-cmt/
“A Pfizer warehouse full of Covid vaccines was just DESTROYED BY A TORNADO in North Carolina.”,Instagram posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/instagram-posts/pfizer-facility-destroyed-by-tornado-didnt-manufac/
MSNBC’s Joy Reid hawked diet gummies in an interview with CNN’s Anderson Cooper.,Facebook posts,"July 21, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/24/facebook-posts/joy-reid-isnt-hawking-diet-gummies-on-cnn-ive-been/
Klaus Schwab “publicly admitted he is planning to implement China-style forced COVID lockdowns all over the world during the ‘next pandemic.’”,Instagram posts,"July 24, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/instagram-posts/world-economic-forum-chairman-klaus-schwab-didnt-a/
ESPN soccer analyst Shaka Hislop collapsed on air because of the COVID-19 vaccine.,Tweets,"July 24, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/tweets/unfounded-claims-blaming-covid-vaccine-for-espn-an/
“7 MINUTES AGO: Mel Gibson Cries For PROTECTION From Hollywood Elite After Sound of Freedom.”,Facebook posts,"July 23, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/facebook-posts/video-doesnt-show-mel-gibson-seeking-protection-fr/
Florida “decided middle school students will be taught that enslaved people benefited from slavery.”,Kamala Harris,"July 20, 2023 ",mostly-true,https://www.politifact.com/factchecks/2023/jul/24/kamala-harris/do-Florida-school-standards-say-enslaved-people/
Former President Donald Trump recently dispatched troops to the border.,Facebook posts,"July 22, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/24/facebook-posts/old-headlines-about-former-president-donald-trump/
"""8 potentes explosiones en planta química de Luisiana - Estados Unidos, causando alerta roja por radiación en la zona donde se ordenó evacuar a toda la población"".",Tweets,"July 15, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/24/tweets/las-explosiones-en-la-planta-quimica-de-luisiana-n/
"Licencias de conducir de “Connecticut, Delaware, Hawai, Rhode Island y Vermont…han sido declaradas no válidas"" en Florida.",Facebook posts,"July 11, 2023 ",barely-true,https://www.politifact.com/factchecks/2023/jul/24/facebook-posts/no-florida-no-ha-invalidado-todas-las-licencias-de/
Two pipeline workers in the Chicago area were given fentanyl-laced water bottles.,Facebook posts,"July 20, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/21/facebook-posts/pipeline-workers-poisoned-by-fentanyl-laced-water/
Photos show children wearing satanic clothing and participating in a satanic club.,Facebook posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/21/facebook-posts/hell-of-a-school-day-photos-dont-show-kids-in-a-sa/
"Under the “2023 Solar Incentive Program,” U.S. homeowners can “now qualify to get a full, state-of-the-art solar system at absolutely no cost from the government.”",Facebook posts,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/21/facebook-posts/theres-no-free-solar-program-promising-free-panels/
"""Helicopter released deadly mosquitoes” at Baltimore’s AFRAM Festival.",Instagram posts,"July 13, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/21/instagram-posts/insect-swarm-at-baltimore-festival-were-likely-gna/
"“In some liberal states, you actually have post-birth abortions.”",Ron DeSantis,"July 18, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/21/ron-desantis/ron-desantis-false-claim-that-some-states-allow-po/
Prosecutor Jack Smith “only targets Republicans.”,Marjorie Taylor Greene,"July 18, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/21/marjorie-taylor-greene/fact-check-marjorie-taylor-greene-said-jack-smith/
Video shows that “George Soros is going bankrupt.”,Facebook posts,"July 18, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/facebook-posts/no-evidence-george-soros-going-bankrupt-as-a-recen/
Photo shows “the oldest man in the history of mankind” recorded by Guinness World Records.,Facebook posts,"July 18, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/facebook-posts/is-this-the-oldest-person-ever-only-according-to-t/
Walmart must refund 2022 customers $500.,Facebook posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/facebook-posts/dont-try-to-get-a-500-refund-from-walmart-this-off/
The Las Vegas Sphere displayed a derogatory message directed at President Joe Biden.,Viral image,"July 14, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/viral-image/las-vegas-sphere-photo-showing-crude-message-to-bi/
Videos show Planned Parenthood “aiding sex traffickers in their crimes.”,Instagram posts,"July 16, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/instagram-posts/no-these-decade-old-plus-videos-dont-expose-planne/
The World Economic Forum “says CBDCs must be ‘implanted under your skin’ if you want to participate in society.”,Viral image,"July 14, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/viral-image/does-the-world-economic-forum-need-to-get-under-yo/
The World Economic Forum “launches ‘mark of the beast’ CBDC microchip that will ‘end gun ownership in America.’”,Instagram posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/instagram-posts/unfounded-claims-about-the-world-economic-forum-ma/
The tornado that destroyed a Pfizer building in North Carolina was orchestrated using weather manipulation to provide “an insurance claim for big pharma.”,Instagram posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/instagram-posts/claim-tornado-planned-for-pfizer-insurance-money-u/
Video shows that Royal Canadian Mounted Police investigators determined that “dozens of wildfires in Canada” were caused by arson in 2023.,Facebook posts,"July 16, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/20/facebook-posts/claims-connecting-arsonists-to-dozens-of-recent-wi/
"""If you get pulled over driving in Florida and your license is from Vermont, Delaware, RI, Connecticut or Hawaii, your license is invalid.""",TikTok posts,"July 10, 2023 ",barely-true,https://www.politifact.com/factchecks/2023/jul/20/tiktok-posts/no-florida-has-not-invalidated-all-licenses-from-v/
Walmart is selling bicycles for $6.95 instead of recycling them.,Facebook posts,"July 19, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/19/facebook-posts/dont-fall-for-this-facebook-post-promising-cheap-w/
President Joe Biden fell asleep during a meeting with Israeli President Isaac Herzog.,Viral image,"July 18, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/19/viral-image/no-news-of-a-snooze-president-biden-didnt-nod-off/
"No human remains or aircraft debris were found at the Pentagon or in Pennsylvania after the Sept. 11, 2001, attacks.",Instagram posts,"July 18, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/19/instagram-posts/human-remains-aircraft-debris-recovered-from-911-c/
Elon Musk tweeted “looking into this” in response to a claim that the “KKK never did anything wrong to Black people.”,Viral image,"July 16, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/19/viral-image/elon-musk-looks-into-some-tweets-but-not-this-one/
Photo shows a highway in Houston.,Instagram posts,"July 18, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/19/instagram-posts/thats-a-lot-of-traffic-but-its-on-a-freeway-in-bei/
“COVID-19 is targeted to attack Caucasians and Black people. The people who are most immune are Ashkenazi Jews and Chinese.”,"Robert F. Kennedy, Jr.","July 11, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/19/robert-f-kennedy-jr/covid-19-wasnt-targeted-to-spare-jewish-and-chines/
Photo shows former President Donald Trump and Jeffrey Epstein on a couch with girls.,Viral image,"July 17, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/viral-image/fabricated-photo-appears-to-show-donald-trump-jeff/
"""Si lleva más de 6 meses viviendo en Estados Unidos puede solicitar implantes dentales sin coste alguno"".",Facebook posts,"June 26, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/facebook-posts/no-no-hay-un-programa-de-implantes-dentales-gratui/
Actor Mark Wahlberg said “Hollywood pedophiles have ‘nowhere left to hide.’”,Viral image,"July 14, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/viral-image/fabricated-story-stars-mark-wahlberg-denouncing-bl/
Former FBI agent Ted Gunderson was murdered.,Instagram posts,"July 17, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/instagram-posts/former-fbi-agent-ted-gunderson-wasnt-murdered-he-d/
Florida has “the highest” homeowners insurance in the nation.,Donald Trump,"July 15, 2023 ",true,https://www.politifact.com/factchecks/2023/jul/18/donald-trump/trump-is-correct-that-florida-has-highest-home-ins/
"""Congreso de EEUU autoriza” congelar 3 mil millones de Rusia para defensa de Ucrania.",Facebook posts,"July 12, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/facebook-posts/el-congreso-de-ee-uu-no-autorizo-congelar-fondos-r/
"Photos show Target is pushing ""evil agenda"" on kids.",Facebook posts,"June 12, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/facebook-posts/target-has-no-evil-agenda-images-are-creator-havin/
"""Florida to ban mRNA vaccines as credible evidence of biological weapons.""",Instagram posts,"July 17, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/18/instagram-posts/florida-government-has-not-taken-steps-to-ban-covi/
“Stop getting mammograms immediately as they are outdated and dangerous!” Thermography “is a safer way to test for breast cancer!”,David Wolfe,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/david-wolfe/experts-medical-groups-still-recommend-mammograms/
"The U.S. Justice Department removed international child sex trafficking from its ""list of offenses that deserve a high degree of attention.""",David Harris Jr.,"July 13, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/david-harris-jr/justice-department-web-page-revisions-did-not-lowe/
Video shows Sen. Ted Cruz asking the Supreme Court to file charges against an aide to Attorney General Merrick Garland.,Facebook posts,"July 15, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/facebook-posts/video-doesnt-show-ted-cruz-asking-the-us-supreme-c/
The World Economic Forum “bans natural conception” because “all babies must be lab-grown by 2030.”,Viral image,"July 16, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/17/viral-image/the-world-economic-forum-didnt-ban-natural-concept/
Video shows ‘truth’ that fungus may be the “next government project.”,Facebook posts,"July 16, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/facebook-posts/video-about-zombie-fungus-isnt-the-truth-its-from/
Video shows “footage of an actual demonic possession in 1896.”,Viral image,"May 14, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/17/viral-image/demonic-possession-footage-is-scary-but-fabricated/
Health professionals are being “urged” to call vaginas “bonus holes” to avoid offending transgender or nonbinary patients.,Instagram posts," July 9, 2023",false,https://www.politifact.com/factchecks/2023/jul/17/instagram-posts/no-health-care-professionals-arent-being-urged-to/
Video shows Neil deGrasse Tyson describing how NASA faked the moon landing.,Instagram posts,"July 17, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/instagram-posts/neil-degrasse-tyson-did-not-expose-nasa-conspiracy/
Ohio replaced lethal injection “with a system that quickly and humanely rips off the heads of death-row inmates using powerful robotic arms.”,Instagram posts,"July 12, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/17/instagram-posts/viral-video-of-ohios-new-plan-for-death-row-prison/
Video shows a girl hitting former Vice President Mike Pence in the head with a water balloon.,Viral image,"July 14, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/viral-image/this-girl-has-good-aim-but-she-didnt-hit-former-vi/
“Miss USA boycotts Miss Universe pageant: ‘I’m not competing against a man.’”,Facebook posts,"July 16, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/17/facebook-posts/claims-miss-usa-boycotting-miss-universe-over-tran/
"AMC is intentionally deterring people from seeing 'Sound of Freedom' with no A/C, fire alarms and other issues.",TikTok posts," July 8, 2023",false,https://www.politifact.com/factchecks/2023/jul/14/tiktok-posts/studio-behind-sound-of-freedom-rejects-claim-amc-i/
“Joe Biden announced that the U.S. dollar will now become cryptocurrency.”,Instagram posts,"July 12, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/14/instagram-posts/dont-bank-on-claims-that-president-joe-biden-is-tr/
“No human is allowed to travel to Antarctica.”,Instagram posts,"July 13, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/14/instagram-posts/humans-may-and-do-visit-antarctica/
“Donald Trump arrested” July 5.,Instagram posts," July 5, 2023",false,https://www.politifact.com/factchecks/2023/jul/14/instagram-posts/former-president-donald-trump-wasnt-arrested-in-ju/
“Biden points and waves to nobody again.”,Instagram posts,"July 12, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/14/instagram-posts/video-of-bidens-nato-summit-speech-misleadingly-ed/
“Donald Trump and Joe Biden both died years ago.”,Instagram posts,"July 13, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/14/instagram-posts/former-president-donald-trump-and-president-joe-bi/
“French President Macron has declared a total ban on social media reporting of events in France.”,Instagram posts," July 3, 2023",false,https://www.politifact.com/factchecks/2023/jul/14/instagram-posts/french-president-emmanuel-macron-did-not-ban-socia/
Police say thousands of people witnessed a “demonic portal opening above White House.”,Facebook posts,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/13/facebook-posts/police-didnt-say-that-thousands-of-people-witnesse/
"""The sand storm headed our way is an attempt by Bill Gates to block out the sun.”",Facebook posts,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/13/facebook-posts/saharan-dust-clouds-are-regular-occurrence-not-a-b/
"""Zero Amish children diagnosed with cancer, diabetes or autism.""",Facebook posts," July 9, 2023",pants-fire,https://www.politifact.com/factchecks/2023/jul/13/facebook-posts/no-amish-kids-get-cancer-diabetes-autism-thats-pan/
Federal “agencies and government have grown 50% since 2019.”,Ron DeSantis," July 9, 2023",half-true,https://www.politifact.com/factchecks/2023/jul/13/ron-desantis/ron-desantis-statement-federal-government-growth/
Video shows “breaking news” because “President Trump just dropped a bombshell!!!”,Facebook posts,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/13/facebook-posts/old-video-of-former-president-donald-trump-miscapt/
Video of Hunter Biden at the White House was taken on the “same day they found cocaine.”,Instagram posts,"July 11, 2023 ",false,https://www.politifact.com/factchecks/2023/jul/13/instagram-posts/fourth-of-july-video-featuring-hunter-biden-wasnt/
“Free dental implants” are available “through Dental Grants.”,Facebook posts," July 2, 2023",false,https://www.politifact.com/factchecks/2023/jul/13/facebook-posts/whats-missing-from-this-offer-of-grants-for-free-d/
The Associated Press reported that cameras show a TikTok influencer leaving a bag of cocaine in the West Wing of the White House.,TikTok posts," July 9, 2023",pants-fire,https://www.politifact.com/factchecks/2023/jul/13/tiktok-posts/dont-believe-this-altered-associated-press-headlin/
El logo de Threads oculta “el número de la bestia” 666.,Threads posts," July 7, 2023",pants-fire,https://www.politifact.com/factchecks/2023/jul/13/threads-posts/no-no-esta-oculto-el-numero-de-la-bestia-666-en-el/
“Nuevo programa de Green Card” aprobado.,Facebook posts," July 6, 2023",false,https://www.politifact.com/factchecks/2023/jul/12/facebook-posts/no-se-ha-aprobado-un-programa-nuevo-para-obtener-u/
"U.S. Rep. Marjorie Taylor Greene said, “How can the Titanic submersible run out of air if you breathe both in and out? I feel like this is more fake news BS.”",Viral image,"July 12, 2023 ",pants-fire,https://www.politifact.com/factchecks/2023/jul/12/viral-image/take-a-breath-rep-marjorie-taylor-greene-didnt-say/
